"/target/f3d/wrench/force/y_x","/target/f3d/wrench/force/y_y","/target/f3d/wrench/force/x_y","/target/f3d/wrench/force/z_y"
121.957,0,0,0,
121.958,0,0,0,
121.959,0,0,0,
121.96,0,0,0,
121.961,0,0,0,
121.962,0,0,0,
121.963,0,0,0,
121.964,0,0,0,
121.965,0,0,0,
121.966,0,0,0,
121.967,0,0,0,
121.968,0,0,0,
121.969,0,0,0,
121.97,0,0,0,
121.971,0,0,0,
121.972,0,0,0,
121.973,0,0,0,
121.974,0,0,0,
121.975,0,0,0,
121.976,0,0,0,
121.977,0,0,0,
121.978,0,0,0,
121.979,0,0,0,
121.98,0,0,0,
121.981,0,0,0,
121.982,0,0,0,
121.983,0,0,0,
121.984,0,0,0,
121.985,0,0,0,
121.986,0,0,0,
121.987,0,0,0,
121.988,0,0,0,
121.989,0,0,0,
121.99,0,0,0,
121.991,0,0,0,
121.992,0,0,0,
121.993,0,0,0,
121.994,0,0,0,
121.995,0,0,0,
121.996,0,0,0,
121.997,0,0,0,
121.998,0,0,0,
121.999,0,0,0,
122,0,0,0,
122.001,0,0,0,
122.002,0,0,0,
122.003,0,0,0,
122.004,0,0,0,
122.005,0,0,0,
122.006,0,0,0,
122.007,0,0,0,
122.008,0,0,0,
122.009,0,0,0,
122.01,0,0,0,
122.011,0,0,0,
122.012,0,0,0,
122.013,0,0,0,
122.014,0,0,0,
122.015,0,0,0,
122.016,0,0,0,
122.017,0,0,0,
122.018,0,0,0,
122.019,0,0,0,
122.02,0,0,0,
122.021,0,0,0,
122.022,0,0,0,
122.023,0,0,0,
122.024,0,0,0,
122.025,0,0,0,
122.026,0,0,0,
122.027,0,0,0,
122.028,0,0,0,
122.029,0,0,0,
122.03,0,0,0,
122.031,0,0,0,
122.032,0,0,0,
122.033,0,0,0,
122.034,0,0,0,
122.035,0,0,0,
122.036,0,0,0,
122.039,0,0,0,
122.04,0,0,0,
122.041,0,0,0,
122.042,0,0,0,
122.043,0,0,0,
122.044,0,0,0,
122.045,0,0,0,
122.046,0,0,0,
122.047,0,0,0,
122.048,0,0,0,
122.049,0,0,0,
122.05,0,0,0,
122.051,0,0,0,
122.052,0,0,0,
122.053,0,0,0,
122.054,0,0,0,
122.055,0,0,0,
122.056,0,0,0,
122.057,0,0,0,
122.058,0,0,0,
122.059,0,0,0,
122.06,0,0,0,
122.061,0,0,0,
122.062,0,0,0,
122.063,0,0,0,
122.064,0,0,0,
122.065,0,0,0,
122.066,0,0,0,
122.067,0,0,0,
122.068,0,0,0,
122.069,0,0,0,
122.07,0,0,0,
122.071,0,0,0,
122.072,0,0,0,
122.073,0,0,0,
122.074,0,0,0,
122.075,0,0,0,
122.076,0,0,0,
122.077,0,0,0,
122.078,0,0,0,
122.079,0,0,0,
122.08,0,0,0,
122.081,0,0,0,
122.082,0,0,0,
122.083,0,0,0,
122.084,0,0,0,
122.085,0,0,0,
122.086,0,0,0,
122.087,0,0,0,
122.088,0,0,0,
122.089,0,0,0,
122.09,0,0,0,
122.091,0,0,0,
122.092,0,0,0,
122.093,0,0,0,
122.094,0,0,0,
122.095,0,0,0,
122.096,0,0,0,
122.097,0,0,0,
122.098,0,0,0,
122.099,0,0,0,
122.1,0,0,0,
122.101,0,0,0,
122.102,0,0,0,
122.103,0,0,0,
122.104,0,0,0,
122.105,0,0,0,
122.106,0,0,0,
122.107,0,0,0,
122.108,0,0,0,
122.109,0,0,0,
122.11,0,0,0,
122.111,0,0,0,
122.112,0,0,0,
122.113,0,0,0,
122.114,0,0,0,
122.115,0,0,0,
122.116,0,0,0,
122.117,0,0,0,
122.118,0,0,0,
122.119,0,0,0,
122.12,0,0,0,
122.121,0,0,0,
122.122,0,0,0,
122.123,0,0,0,
122.124,0,0,0,
122.125,0,0,0,
122.126,0,0,0,
122.127,0,0,0,
122.128,0,0,0,
122.129,0,0,0,
122.13,0,0,0,
122.131,0,0,0,
122.132,0,0,0,
122.133,0,0,0,
122.134,0,0,0,
122.135,0,0,0,
122.136,0,0,0,
122.137,0,0,0,
122.138,0,0,0,
122.139,0,0,0,
122.14,0,0,0,
122.141,0,0,0,
122.142,0,0,0,
122.143,0,0,0,
122.144,0,0,0,
122.145,0,0,0,
122.146,0,0,0,
122.147,0,0,0,
122.148,0,0,0,
122.149,0,0,0,
122.15,0,0,0,
122.151,0,0,0,
122.152,0,0,0,
122.153,0,0,0,
122.154,0,0,0,
122.155,0,0,0,
122.156,0,0,0,
122.157,0,0,0,
122.158,0,0,0,
122.159,0,0,0,
122.16,0,0,0,
122.161,0,0,0,
122.162,0,0,0,
122.163,0,0,0,
122.164,0,0,0,
122.165,0,0,0,
122.166,0,0,0,
122.167,0,0,0,
122.168,0,0,0,
122.169,0,0,0,
122.17,0,0,0,
122.171,0,0,0,
122.172,0,0,0,
122.173,0,0,0,
122.174,0,0,0,
122.175,0,0,0,
122.176,0,0,0,
122.177,0,0,0,
122.178,0,0,0,
122.179,0,0,0,
122.18,0,0,0,
122.181,0,0,0,
122.182,0,0,0,
122.183,0,0,0,
122.184,0,0,0,
122.185,0,0,0,
122.186,0,0,0,
122.187,0,0,0,
122.188,0,0,0,
122.189,0,0,0,
122.19,0,0,0,
122.191,0,0,0,
122.192,0,0,0,
122.193,0,0,0,
122.194,0,0,0,
122.195,0,0,0,
122.196,0,0,0,
122.197,0,0,0,
122.198,0,0,0,
122.199,0,0,0,
122.2,0,0,0,
122.201,0,0,0,
122.202,0,0,0,
122.203,0,0,0,
122.204,0,0,0,
122.205,0,0,0,
122.206,0,0,0,
122.207,0,0,0,
122.208,0,0,0,
122.209,0,0,0,
122.21,0,0,0,
122.211,0,0,0,
122.212,0,0,0,
122.213,0,0,0,
122.214,0,0,0,
122.215,0,0,0,
122.216,0,0,0,
122.217,0,0,0,
122.218,0,0,0,
122.219,0,0,0,
122.22,0,0,0,
122.221,0,0,0,
122.222,0,0,0,
122.223,0,0,0,
122.224,0,0,0,
122.225,0,0,0,
122.226,0,0,0,
122.227,0,0,0,
122.228,0,0,0,
122.229,0,0,0,
122.23,0,0,0,
122.231,0,0,0,
122.232,0,0,0,
122.233,0,0,0,
122.234,0,0,0,
122.235,0,0,0,
122.236,0,0,0,
122.237,0,0,0,
122.238,0,0,0,
122.239,0,0,0,
122.24,0,0,0,
122.241,0,0,0,
122.242,0,0,0,
122.243,0,0,0,
122.244,0,0,0,
122.245,0,0,0,
122.246,0,0,0,
122.247,0,0,0,
122.248,0,0,0,
122.249,0,0,0,
122.25,0,0,0,
122.251,0,0,0,
122.252,0,0,0,
122.253,0,0,0,
122.254,0,0,0,
122.255,0,0,0,
122.256,0,0,0,
122.257,0,0,0,
122.258,0,0,0,
122.259,0,0,0,
122.26,0,0,0,
122.261,0,0,0,
122.262,0,0,0,
122.263,0,0,0,
122.264,0,0,0,
122.265,0,0,0,
122.266,0,0,0,
122.267,0,0,0,
122.268,0,0,0,
122.269,0,0,0,
122.27,0,0,0,
122.271,0,0,0,
122.272,0,0,0,
122.273,0,0,0,
122.274,0,0,0,
122.275,0,0,0,
122.276,0,0,0,
122.277,0,0,0,
122.278,0,0,0,
122.28,0,0,0,
122.281,0,0,0,
122.282,0,0,0,
122.283,0,0,0,
122.284,0,0,0,
122.285,0,0,0,
122.286,0,0,0,
122.287,0,0,0,
122.288,0,0,0,
122.289,0,0,0,
122.29,0,0,0,
122.291,0,0,0,
122.292,0,0,0,
122.293,0,0,0,
122.294,0,0,0,
122.295,0,0,0,
122.296,0,0,0,
122.297,0,0,0,
122.298,0,0,0,
122.299,0,0,0,
122.3,0,0,0,
122.301,0,0,0,
122.302,0,0,0,
122.303,0,0,0,
122.304,0,0,0,
122.305,0,0,0,
122.306,0,0,0,
122.307,0,0,0,
